fiscal_year,commodity,state,cumulative_qty_mt,cumulative_val_inr_crores,source_file,pit_mouth_rate_inr_mt
2016,Iron Ore,Madhya Pradesh,654.0,794722.0,10252016172810MSMP_March2016.pdf,1215.17125382263
2016,Iron Ore,Maharashtra,407.0,626507.0,10252016172810MSMP_March2016.pdf,1539.3292383292383
2016,Iron Ore,Odisha,21152.0,57013083.0,10252016172810MSMP_March2016.pdf,2695.3991584720125
2016,Iron Ore,Rajasthan,124.0,82779.0,10252016172810MSMP_March2016.pdf,667.5725806451613
2016,Iron Ore,Andhra Pradesh,279.0,79018.0,10252016172810MSMP_March2016.pdf,283.21863799283153
2016,Iron Ore,Chhattisgarh,18771.0,49688656.0,10252016172810MSMP_March2016.pdf,2647.0969047999574
2016,Iron Ore,Jharkhand,12333.0,14178413.0,10252016172810MSMP_March2016.pdf,1149.6321251925729
2016,Iron Ore,Karnataka,13406.0,32406484.0,10252016172810MSMP_March2016.pdf,2417.311949873191
2016,Iron Ore,Madhya Pradesh,3539.0,1670075.0,10252016172810MSMP_March2016.pdf,471.9059056230573
2016,Iron Ore,Maharashtra,1736.0,1975022.0,10252016172810MSMP_March2016.pdf,1137.6854838709678
2016,Iron Ore,Odisha,30831.0,46548984.0,10252016172810MSMP_March2016.pdf,1509.8110343485453
2016,Iron Ore,Rajasthan,1039.0,3104623.0,10252016172810MSMP_March2016.pdf,2988.087584215592
2016,Limestone,Andhra Pradesh,34676.0,6145183.0,10252016172810MSMP_March2016.pdf,177217.181912562
2016,Limestone,Chhattisgarh,23588.0,5095514.0,10252016172810MSMP_March2016.pdf,216021.451585552
2016,Limestone,Gujarat,26010.0,4041937.0,10252016172810MSMP_March2016.pdf,155399.34640522875
2016,Limestone,Jharkhand,792.0,355281.0,10252016172810MSMP_March2016.pdf,448587.1212121212
2016,Limestone,Karnataka,24008.0,3782551.0,10252016172810MSMP_March2016.pdf,157553.77374208596
2016,Limestone,Madhya Pradesh,39530.0,7024166.0,10252016172810MSMP_March2016.pdf,177692.03136858082
2016,Limestone,Maharashtra,12085.0,2338475.0,10252016172810MSMP_March2016.pdf,193502.27554820024
2016,Limestone,Odisha,3409.0,1189212.0,10252016172810MSMP_March2016.pdf,348844.82252860075
2016,Limestone,Rajasthan,61844.0,12515775.0,10252016172810MSMP_March2016.pdf,202376.54420800725
2016,Limestone,Tamil Nadu,22227.0,5989520.0,10252016172810MSMP_March2016.pdf,269470.4638502722
2016,Limestone,Karnataka,200.0,240.0,10252016172810MSMP_March2016.pdf,1200.0
2016,Limestone,Karnataka,9129.0,40910.0,10252016172810MSMP_March2016.pdf,4481.323255559207
2016,Limestone,Tamil Nadu,225694.0,637938.0,10252016172810MSMP_March2016.pdf,2826.56162769059
2016,Limestone,Gujarat,2177449.0,257030.0,10252016172810MSMP_March2016.pdf,118.04180029015605
2016,Limestone,Tamil Nadu,2039.0,568.0,10252016172810MSMP_March2016.pdf,278.56792545365374
2016,Limestone,Chhattisgarh,6383.0,1671.0,10252016172810MSMP_March2016.pdf,261.78912736957545
2016,Limestone,Rajasthan,207.0,456.0,10252016172810MSMP_March2016.pdf,2202.8985507246375
2016,Limestone,Gujarat,90096.0,0.0,10252016172810MSMP_March2016.pdf,0.0
2016,Limestone,Maharashtra,57691.0,0.0,10252016172810MSMP_March2016.pdf,0.0
2016,Limestone,Andhra Pradesh,15491.0,6246.0,10252016172810MSMP_March2016.pdf,403.2018591440191
