fiscal_year,commodity,state,cumulative_qty_mt,cumulative_val_inr_crores,source_file
2016,Limestone,Maharashtra,57691.0,0.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Andhra Pradesh,15491.0,6246.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Rajasthan,1623.0,1251.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Tamil Nadu,2222.0,4982.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Rajasthan,186524.0,162113.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Chhattisgarh,2058.0,1692.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Jharkhand,226.0,140.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Odisha,7060.0,6804.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Rajasthan,2.0,13.0,10252016172810MSMP_March2016.pdf
2017,Limestone,Andhra Pradesh,104.0,85.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Rajasthan,1.0,1.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Madhya Pradesh,21373.0,9.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Gujarat,11921.0,5.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Tamil Nadu,3.5,7606.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Maharashtra,3.1,94.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Andhra Pradesh,20870046.0,18470126.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Chhattisgarh,227430675.0,208559861.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Gujarat,119211395.0,117695800.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Jharkhand,213728273.0,206137946.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Karnataka,54468641.0,42636581.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Madhya Pradesh,149686168.0,150413983.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Maharashtra,73138769.0,73585364.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Odisha,286023519.0,263900422.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Rajasthan,262516285.0,260420238.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Tamil Nadu,76059577.0,69778323.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Andhra Pradesh,11913801.0,10481062.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Chhattisgarh,157728759.0,147436800.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Gujarat,111686310.0,108128114.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Jharkhand,195258296.0,187386440.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Madhya Pradesh,133311995.0,132263170.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Maharashtra,63140766.0,65340300.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Odisha,121794047.0,121010100.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Rajasthan,166500584.0,178516730.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Tamil Nadu,69207039.0,62272976.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Andhra Pradesh,1020320.0,612207.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Chhattisgarh,61806458.0,54103613.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Gujarat,2878562.0,4876805.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Jharkhand,17906362.0,18218578.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Karnataka,49368868.0,38269690.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Madhya Pradesh,9254915.0,8605588.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Maharashtra,7555962.0,5348664.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Odisha,162381109.0,141210527.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Rajasthan,77415372.0,62762018.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Tamil Nadu,4811.0,19002.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Andhra Pradesh,7935925.0,7376857.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Chhattisgarh,7895458.0,7019448.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Gujarat,4646523.0,4690881.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Jharkhand,563615.0,532928.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Karnataka,5099773.0,4366891.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Madhya Pradesh,7119258.0,9545225.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Maharashtra,2442041.0,2896400.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Odisha,1848363.0,1679795.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Rajasthan,18600329.0,19141490.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Tamil Nadu,6847727.0,7486345.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Chhattisgarh,130605.0,147436800.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Jharkhand,121067.0,187369900.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Madhya Pradesh,107714.0,132254900.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Maharashtra,38351.0,65340300.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Odisha,138461.0,121010100.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Gujarat,10123.0,14723500.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Rajasthan,9492.0,11103300.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Tamil Nadu,24227.0,49168000.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Andhra Pradesh,619.0,5119209.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Gujarat,1490.0,12322491.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Jharkhand,2.0,16540.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Madhya Pradesh,1.0,8270.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Rajasthan,1338.0,11065431.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Tamil Nadu,1011.0,8361099.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Andhra Pradesh,295.0,5361853.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Gujarat,4461.0,81082123.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Rajasthan,8602.0,156347999.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Tamil Nadu,261.0,4743877.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Iron Ore,Andhra Pradesh,493.0,283258.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Iron Ore,Chhattisgarh,26718.0,52780037.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Iron Ore,Jharkhand,19198.0,16494215.0,11302017125132MSMP_MARCH 17_final_release.pdf
